,Player,Team,Position,Minutes,Off_box,Def_box,Tot_box,Off_oo,Def_oo,Tot_oo,Off_ov,Def_ov,Tot_ov,WAR
1,Nikola Jokic'22-'23,Nuggets,C,"3,112",9,4.3,13.3,9.4,0.3,9.7,9.5,3.7,13.2,25.9
2,Joel Embiid'22-'23,76ers,C,"2,620",4,4,7.9,2.1,3.7,5.8,3.7,4.1,7.8,14.2
3,Jimmy Butler'22-'23,Heat,"SG, SF","3,012",6.4,1.3,7.7,0.2,-1.8,-1.6,5.5,0.7,6.2,13.8
4,Luka Doncic'22-'23,Mavericks,"PG, SG, SF","2,391",8.9,-0.3,8.5,3.7,-0.9,2.7,8.3,-0.4,7.8,13
5,Anthony Davis'22-'23,Lakers,"PF, C","2,512",2.4,4.7,7.1,2.2,3.5,5.7,2.5,4.7,7.2,12.9
6,Jayson Tatum'22-'23,Celtics,SF,"3,531",4.3,-0.3,3.9,4.6,-0.1,4.5,4.5,-0.3,4.2,12.6
7,Stephen Curry'22-'23,Warriors,PG,"2,434",7.3,-1.4,6,6,0.1,6.1,7.5,-1.2,6.3,11.5
7,Damian Lillard'22-'23,Trail Blazers,PG,"2,107",9.4,-1.5,8,5.7,-1.2,4.5,9.3,-1.5,7.8,11.5
9,Jalen Brunson'22-'23,Knicks,PG,"2,822",5.1,0.2,5.3,6.7,-5.3,1.4,5.7,-1,4.8,10.9
10,Derrick White'22-'23,Celtics,"PG, SG","2,912",1.7,2.6,4.2,2.7,1.8,4.4,1.9,2.5,4.4,10.7
11,Jrue Holiday'22-'23,Bucks,"PG, SG","2,374",2.9,1.8,4.7,5.4,3.1,8.5,3.6,2.1,5.7,10.3
12,Donovan Mitchell'22-'23,Cavaliers,"PG, SG","2,639",6.2,-1.1,5.1,2.9,-0.9,2,5.8,-1.1,4.7,10.1
13,Devin Booker'22-'23,Suns,SG,"2,294",5.6,0,5.6,6.1,-1.9,4.2,6,-0.4,5.6,10
13,Kyrie Irving'22-'23,Mavericks,PG,"2,241",5.7,0.4,6.1,3.8,0,3.8,5.6,0.4,6,10
13,Fred VanVleet'22-'23,Raptors,SG,"2,535",3.7,1.3,5,3.3,0.4,3.7,3.8,1.2,5,10
16,Shai Gilgeous-Alexander'22-'23,Thunder,"PG, SG, SF","2,416",5.4,0,5.4,2,0.9,2.9,5,0.2,5.2,9.9
17,James Harden'22-'23,76ers,"PG, SG","2,562",5.4,0.5,5.9,1.3,-2,-0.7,4.8,0,4.8,9.8
17,Trae Young'22-'23,Hawks,PG,"2,771",5.8,-1,4.7,-0.1,-0.3,-0.4,4.9,-0.9,3.9,9.8
19,Darius Garland'22-'23,Cavaliers,PG,"2,636",3.4,0.8,4.1,3.5,0.4,3.9,3.6,0.7,4.2,9.4
19,LeBron James'22-'23,Lakers,"PG, SF, PF","2,573",4.1,-0.2,3.8,3.7,1.3,5,4.3,0,4.3,9.4
21,Jamal Murray'22-'23,Nuggets,"PG, SG","2,932",3.6,-0.3,3.4,2.7,0,2.7,3.6,-0.2,3.3,9.3
22,Austin Reaves'22-'23,Lakers,"PG, SG, SF","2,422",2.8,1.1,4,3.1,2.9,6,3,1.6,4.6,9.2
23,Brook Lopez'22-'23,Bucks,C,"2,555",-1,4.8,3.8,0.6,4.2,4.8,-0.7,5,4.2,9.1
24,Ja Morant'22-'23,Grizzlies,PG,"2,135",5.2,0.5,5.7,0.4,2.7,3.1,4.5,1,5.5,9
25,Giannis Antetokounmpo'22-'23,Bucks,"SF, PF, C","2,115",3.4,1.9,5.3,2.6,1.8,4.5,3.4,2,5.4,8.9
26,Kawhi Leonard'22-'23,Clippers,"SG, SF","1,828",4.6,1.7,6.3,4.9,1.9,6.8,4.9,1.9,6.8,8.8
27,Kevin Durant'22-'23,Suns,"SF, PF","2,138",4.5,-0.2,4.3,4.9,1.5,6.5,4.8,0.2,5,8.6
28,Lauri Markkanen'22-'23,Jazz,"SF, PF","2,273",3.6,0.5,4,2.3,2.8,5.1,3.5,1,4.5,8.5
29,Domantas Sabonis'22-'23,Kings,"PF, C","2,979",2.2,1.1,3.3,3.2,-3.2,0,2.5,0.3,2.8,8.4
30,Tyrese Haliburton'22-'23,Pacers,"PG, SG","1,883",6.8,-1.2,5.7,5.1,-0.2,4.9,6.9,-1,5.9,8.3
31,Kristaps Porzingis'22-'23,Wizards,"PF, C","2,120",2.8,2,4.8,3.6,-0.3,3.3,3.1,1.7,4.8,8.2
32,Anthony Edwards'22-'23,Timberwolves,"SG, SF","3,041",1.6,0.1,1.7,3.2,1.1,4.3,2,0.3,2.3,8
33,Josh Hart'22-'23,Knicks,SF,"2,807",0.5,1.4,1.8,4.2,1.7,5.8,1.2,1.6,2.8,7.9
34,Immanuel Quickley'22-'23,Knicks,PG,"2,519",1.9,0.7,2.6,-3,8.4,5.5,1,2.4,3.4,7.8
35,Aaron Gordon'22-'23,Nuggets,PF,"2,768",0.7,0.3,1,6.3,2.9,9.1,1.8,0.8,2.7,7.7
35,Kevon Looney'22-'23,Warriors,"PF, C","2,283",0.5,3.2,3.7,3.9,-0.2,3.7,1.2,2.7,3.9,7.7
37,Paul George'22-'23,Clippers,"SG, SF","1,939",2.7,1.7,4.4,3.6,1.3,5,3.1,1.7,4.8,7.5
38,DeMar DeRozan'22-'23,Bulls,"SG, SF, PF","2,682",2.6,0,2.6,0.1,2.2,2.3,2.2,0.4,2.6,7.4
38,Draymond Green'22-'23,Warriors,PF,"2,664",-1.9,3.4,1.5,3.1,3.1,6.2,-1,3.5,2.6,7.4
40,De'Aaron Fox'22-'23,Kings,PG,"2,705",4.5,-1.3,3.1,3.4,-3.8,-0.4,4.4,-1.9,2.5,7.3
41,Franz Wagner'22-'23,Magic,"SF, PF","2,609",0.7,0.7,1.4,0.9,5.9,6.8,0.8,1.8,2.7,7.2
42,Bam Adebayo'22-'23,Heat,C,"3,448",-1.9,2.3,0.4,1.6,2.6,4.2,-1.3,2.5,1.2,7
42,Alex Caruso'22-'23,Bulls,"PG, SG","1,575",-0.5,5.9,5.4,1.2,5.3,6.5,-0.1,6.1,6,7
44,Mikal Bridges'22-'23,Nets,"SG, SF, PF","3,120",1.7,0.5,2.1,-0.5,-1.1,-1.5,1.3,0.2,1.5,6.7
44,Kentavious Caldwell-Pope'22-'23,Nuggets,"SG, SF","3,052",-0.3,1.1,0.8,4.2,-0.1,4.1,0.6,0.9,1.5,6.7
46,Desmond Bane'22-'23,Grizzlies,"SG, SF","2,072",3,-0.3,2.7,3.6,1.5,5.1,3.3,0,3.3,6.4
47,Al Horford'22-'23,Celtics,"PF, C","2,539",-0.5,2.2,1.7,2,1,3,0,2,2,6.2
48,Tim Hardaway Jr.'22-'23,Mavericks,"SG, SF","2,152",0.4,1.5,1.9,3.4,2,5.4,1.1,1.7,2.7,6
48,Jaren Jackson Jr.'22-'23,Grizzlies,"PF, C","2,007",0.3,2.2,2.5,1.3,3.6,4.9,0.5,2.6,3.1,6
50,Nic Claxton'22-'23,Nets,C,"2,388",-1.6,2.3,0.7,4.5,2.3,6.8,-0.4,2.4,2,5.7
50,Mike Conley'22-'23,Timberwolves,PG,"2,212",2.4,0.2,2.5,2.2,-1.4,0.9,2.5,-0.1,2.3,5.7
50,Buddy Hield'22-'23,Pacers,"SG, SF","2,482",1.5,-0.2,1.4,2.5,-0.1,2.4,1.8,-0.1,1.7,5.7
50,Tyrese Maxey'22-'23,76ers,"PG, SG","2,439",2.3,-0.9,1.4,2.6,0.3,2.9,2.5,-0.7,1.8,5.7
50,Marcus Smart'22-'23,Celtics,"PG, SG","2,636",0.6,1.1,1.7,1.3,-1.1,0.2,0.7,0.7,1.4,5.7
55,Trey Murphy III'22-'23,Pelicans,SG,"2,448",1.4,0.7,2.2,0.7,-1.2,-0.5,1.4,0.4,1.7,5.6
56,Harrison Barnes'22-'23,Kings,"SF, PF","2,858",0.5,0.6,1.2,0.7,-0.6,0.1,0.6,0.4,1,5.5
56,Zach LaVine'22-'23,Bulls,"PG, SG","2,768",2.6,-1.1,1.6,0.2,-0.9,-0.7,2.3,-1.1,1.2,5.5
56,Mitchell Robinson'22-'23,Knicks,C,"1,889",0,2.5,2.5,3.2,1.2,4.4,0.7,2.3,3,5.5
59,Clint Capela'22-'23,Hawks,C,"1,881",0.2,3.3,3.4,2.1,-2.1,0,0.6,2.4,2.9,5.4
59,Herbert Jones'22-'23,Pelicans,"SG, SF, PF","1,951",-1.5,3.7,2.2,2.4,2,4.4,-0.8,3.5,2.7,5.4
59,Julius Randle'22-'23,Knicks,PF,"3,067",1.9,-0.9,1,2.1,-2.3,-0.2,2,-1.3,0.8,5.4
62,Donte DiVincenzo'22-'23,Warriors,SG,"2,129",0,2.5,2.5,-1.6,1.6,0,-0.3,2.5,2.1,5.3
62,Rudy Gobert'22-'23,Timberwolves,C,"2,325",-1.6,3.8,2.2,-1.7,1.3,-0.4,-1.7,3.5,1.8,5.3
62,Walker Kessler'22-'23,Jazz,C,"1,703",0.1,3.2,3.3,1.3,1.5,2.7,0.3,3.1,3.4,5.3
65,Luguentz Dort'22-'23,Thunder,"PG, SG","2,272",-1.3,3,1.8,1.2,-0.3,0.9,-0.8,2.5,1.7,5.2
65,Alperen Sengun'22-'23,Rockets,C,"2,171",-0.3,2.4,2.1,3.5,-3.7,-0.2,0.6,1.3,1.9,5.2
67,O.G. Anunoby'22-'23,Raptors,SF,"2,386",-0.9,1.9,1,-0.2,2.8,2.6,-0.8,2.2,1.4,5.1
68,Caris LeVert'22-'23,Cavaliers,"SG, SF","2,407",0.2,1.5,1.7,-2.7,2.3,-0.5,-0.4,1.7,1.3,5
68,Chris Paul'22-'23,Suns,PG,"2,139",2.4,-0.5,1.9,0.7,0.7,1.4,2.2,-0.3,1.9,5
70,Jarrett Allen'22-'23,Cavaliers,C,"2,411",-1.3,1.6,0.3,3.3,1.7,5,-0.5,1.7,1.2,4.9
70,Spencer Dinwiddie'22-'23,Nets,"PG, SG","2,884",2.1,-1.3,0.8,-0.3,-0.1,-0.4,1.7,-1.1,0.6,4.9
70,De'Anthony Melton'22-'23,76ers,PG,"2,424",0.2,1.7,1.9,-1.4,-0.3,-1.7,-0.1,1.3,1.2,4.9
73,Jaylen Brown'22-'23,Celtics,"SG, SF","3,156",0.6,0.2,0.8,-2.3,0.6,-1.6,-0.1,0.3,0.2,4.8
73,Kyle Lowry'22-'23,Heat,PG,"2,317",1,0.4,1.4,0.8,0,0.8,1,0.3,1.3,4.8
75,Caleb Martin'22-'23,Heat,"SF, PF","2,771",-1.4,1.2,-0.2,1.2,2.1,3.3,-1,1.5,0.5,4.7
76,Scottie Barnes'22-'23,Raptors,"SF, PF","2,678",-0.4,0.4,0,2.4,0.8,3.3,0.1,0.5,0.6,4.6
76,Tre Jones'22-'23,Spurs,PG,"1,984",1,1.2,2.2,1.1,-2,-1,1.2,0.7,1.8,4.6
78,Bogdan Bogdanovic'22-'23,Hawks,"SG, SF","1,665",2.7,-0.3,2.5,3.9,-1.9,2,3.1,-0.6,2.5,4.5
78,Malcolm Brogdon'22-'23,Celtics,"PG, SG","2,218",2.6,-1.2,1.4,-0.6,1.5,0.9,2,-0.8,1.2,4.5
78,Isaiah Hartenstein'22-'23,Knicks,C,"1,846",-1.1,3,1.9,-0.2,2.2,2,-1.1,3,2,4.5
78,Cameron Johnson'22-'23,Nets,"SF, PF","1,351",1.2,2.5,3.7,0.4,2.4,2.8,1.2,2.6,3.8,4.5
78,Pascal Siakam'22-'23,Raptors,"PF, C","2,652",2.1,-1.7,0.4,2.2,-0.9,1.3,2.3,-1.7,0.6,4.5
78,Delon Wright'22-'23,Wizards,PG,"1,221",0.9,3.7,4.6,1.2,1.7,2.9,1,3.5,4.5,4.5
84,Kyle Anderson'22-'23,Timberwolves,"SF, PF","2,061",-0.1,1.3,1.2,1.5,0.4,2,0.3,1.1,1.4,4.4
85,Josh Okogie'22-'23,Suns,SG,"1,525",-0.2,3.2,3,-0.9,2.1,1.2,-0.4,3.1,2.8,4.3
86,Anfernee Simons'22-'23,Trail Blazers,"PG, SG","2,171",2,-1.2,0.8,0.2,1.3,1.5,1.8,-0.7,1.1,4.2
87,Isaiah Joe'22-'23,Thunder,"PG, SG","1,395",2.5,0.4,2.9,2.9,-0.2,2.7,2.7,0.3,3,4.1
87,Evan Mobley'22-'23,Cavaliers,"PF, C","2,903",-2.2,1.8,-0.4,1.2,0.9,2.2,-1.6,1.6,0,4.1
87,Kevin Porter Jr.'22-'23,Rockets,"PG, SG","2,024",2,-0.6,1.4,0.2,-0.6,-0.4,1.8,-0.5,1.3,4.1
87,D'Angelo Russell'22-'23,Lakers,"PG, SG","2,777",2.4,-1.7,0.7,0.2,-2.4,-2.3,2.1,-1.9,0.1,4.1
91,John Konchar'22-'23,Grizzlies,SG,"1,543",-1.3,3.3,2,0.7,2.8,3.5,-0.9,3.3,2.4,4
92,Steven Adams'22-'23,Grizzlies,C,"1,133",-0.5,4.2,3.6,4.2,0.2,4.4,0.4,3.6,4,3.9
92,T.J. McConnell'22-'23,Pacers,PG,"1,526",1.1,1.7,2.8,-2.8,1.8,-1,0.4,1.9,2.2,3.9
94,Tobias Harris'22-'23,76ers,"SF, PF","2,828",-0.1,-0.7,-0.9,2,1.4,3.4,0.3,-0.4,-0.1,3.8
94,Jaden McDaniels'22-'23,Timberwolves,PF,"2,416",-1.6,1.3,-0.4,2.1,0.9,3,-1,1.3,0.3,3.8
96,CJ McCollum'22-'23,Pelicans,"PG, SG","2,649",0.8,-0.7,0.1,2.9,-3.7,-0.7,1.3,-1.4,-0.1,3.6
96,Mason Plumlee'22-'23,Clippers,C,"2,145",1,0,1,1.8,-3.6,-1.8,1.3,-0.8,0.5,3.6
96,Jalen Suggs'22-'23,Magic,"PG, SG","1,246",0,3.6,3.6,-1.7,0.6,-1.1,-0.3,3.2,2.9,3.6
96,Klay Thompson'22-'23,Warriors,"SG, SF","2,747",0.7,-1.4,-0.8,1.8,0.5,2.3,0.9,-1.1,-0.2,3.6
96,Coby White'22-'23,Bulls,"PG, SG","1,730",0.6,0.1,0.7,2.9,0.7,3.6,1.1,0.2,1.3,3.6
101,Nickeil Alexander-Walker'22-'23,Timberwolves,SG,"1,032",-0.1,4.1,4,-1.2,2.3,1.1,-0.3,4,3.7,3.5
101,Kevin Huerter'22-'23,Kings,SG,"2,386",1.6,-1.8,-0.2,2.7,-1.2,1.5,1.8,-1.7,0.1,3.5
101,Dejounte Murray'22-'23,Hawks,"PG, SG","2,883",1.3,-1,0.2,-1.5,-1.1,-2.6,0.7,-1.1,-0.4,3.5
101,Royce O'Neale'22-'23,Nets,"SG, SF","2,527",-0.8,0.7,-0.1,-1.2,1.7,0.6,-1,1,0,3.5
101,Onyeka Okongwu'22-'23,Hawks,"PF, C","1,980",-0.7,0.8,0.1,1.6,1.4,3,-0.3,1,0.7,3.5
106,Cole Anthony'22-'23,Magic,PG,"1,552",1.9,-0.6,1.3,1.7,0.2,1.9,2,-0.5,1.6,3.4
106,Alec Burks'22-'23,Pistons,"SG, SF","1,122",2.8,-0.3,2.4,2.7,1.5,4.2,3,0.1,3.1,3.4
106,Quentin Grimes'22-'23,Knicks,SG,"2,363",0,-0.7,-0.7,2.4,1,3.4,0.4,-0.4,0,3.4
106,Sam Hauser'22-'23,Celtics,SF,"1,394",1.3,0.7,2,0.4,2.1,2.4,1.1,1,2.1,3.4
106,Kelly Olynyk'22-'23,Jazz,"PF, C","1,942",-0.2,0.8,0.6,1.9,-1,0.9,0.2,0.5,0.7,3.4
106,Jakob Poeltl'22-'23,Raptors,C,"1,906",0.5,0.5,0.9,0.4,-1,-0.6,0.5,0.3,0.8,3.4
112,Bradley Beal'22-'23,Wizards,"SG, SF","1,673",2.4,-1.4,0.9,2.6,-0.7,1.9,2.5,-1.3,1.2,3.3
112,Malik Monk'22-'23,Kings,SG,"1,924",2.6,-2.2,0.4,-2.2,3.4,1.2,1.7,-1.2,0.5,3.3
112,Larry Nance Jr.'22-'23,Pelicans,"PF, C","1,381",-1.2,2.1,0.9,2.1,4,6.1,-0.6,2.6,2,3.3
115,Bruce Brown'22-'23,Nuggets,"PG, SG, SF","2,810",-0.4,0.9,0.5,-4.5,0.2,-4.3,-1.3,0.8,-0.5,3.2
115,Tyler Herro'22-'23,Heat,"PG, SG","2,356",0.8,-1.9,-1.1,2.9,1.1,4,1.3,-1.4,0,3.2
115,Kenrich Williams'22-'23,Thunder,PF,"1,206",-0.9,2.4,1.5,1.4,4.2,5.7,-0.5,2.9,2.4,3.2
118,Grayson Allen'22-'23,Bucks,"SG, SF","2,121",0,0.2,0.2,0.5,-0.5,0,0.1,0.1,0.1,3.1
118,Michael Porter Jr.'22-'23,Nuggets,"SF, PF","2,452",0.8,-2.3,-1.5,5.1,0.2,5.3,1.6,-1.9,-0.2,3.1
118,Paul Reed'22-'23,76ers,PF,912,-0.1,4.2,4.2,1.2,0.2,1.4,0.1,3.6,3.7,3.1
118,Andrew Wiggins'22-'23,Warriors,"SF, PF","1,632",-1.2,1.3,0,0.7,3.6,4.2,-0.9,1.8,0.9,3.1
118,Zion Williamson'22-'23,Pelicans,"PF, C",956,3.3,-0.1,3.2,1.5,2.4,3.9,3.2,0.4,3.6,3.1
123,Jose Alvarado'22-'23,Pelicans,PG,"1,310",0,1.4,1.4,-0.7,3.4,2.7,-0.1,1.9,1.8,3
123,Jock Landale'22-'23,Suns,C,"1,092",-1,2.6,1.6,0.8,4.8,5.6,-0.7,3.2,2.5,3
123,Kevin Love'22-'23,Heat,"PF, C","1,599",-0.4,1.6,1.2,-0.4,0.1,-0.3,-0.4,1.3,0.9,3
126,Tyus Jones'22-'23,Grizzlies,PG,"2,060",1.3,-0.8,0.5,0.8,-2.8,-1.9,1.3,-1.3,0,2.9
126,Monte Morris'22-'23,Wizards,PG,"1,695",1.1,-0.7,0.4,4.6,-3.1,1.4,1.9,-1.3,0.7,2.9
126,Cedi Osman'22-'23,Cavaliers,SF,"1,641",0.2,0.3,0.5,-0.2,1.8,1.6,0.2,0.6,0.7,2.9
126,Robert Williams III'22-'23,Celtics,C,"1,241",-0.5,1.8,1.2,2.3,1.2,3.5,0,1.7,1.7,2.9
130,Tari Eason'22-'23,Rockets,"SF, PF","1,767",-0.4,0.5,0,-1.9,3,1.2,-0.7,1.1,0.4,2.8
130,Brandon Ingram'22-'23,Pelicans,"SG, SF","1,538",1.9,-1.3,0.5,0.9,0.9,1.7,1.8,-1,0.8,2.8
130,Terry Rozier'22-'23,Hornets,"PG, SG","2,221",0.2,-0.5,-0.3,1.8,-2.5,-0.7,0.7,-0.9,-0.2,2.8
133,Dillon Brooks'22-'23,Grizzlies,"SG, SF","2,381",-2,1.2,-0.8,-2.4,3.2,0.8,-2.2,1.7,-0.5,2.7
133,Jerami Grant'22-'23,Trail Blazers,"SF, PF","2,246",0.2,-0.7,-0.5,1.5,-1.3,0.2,0.5,-0.9,-0.4,2.7
133,Luke Kennard'22-'23,Grizzlies,SG,"1,422",0.7,-0.9,-0.2,3.8,1.8,5.6,1.4,-0.4,1,2.7
133,Khris Middleton'22-'23,Bucks,SF,974,2.7,-0.6,2.1,1.4,2.8,4.2,2.6,0,2.6,2.7
133,Gabe Vincent'22-'23,Heat,PG,"2,431",-1.1,0,-1.1,0,1.2,1.3,-0.9,0.2,-0.7,2.7
133,Ivica Zubac'22-'23,Clippers,C,"2,300",-2.5,2.4,0,0.2,-2.3,-2.1,-2.1,1.6,-0.5,2.7
139,LaMelo Ball'22-'23,Hornets,SG,"1,268",1.8,-0.4,1.5,2.7,-3.3,-0.6,2.2,-1,1.2,2.6
139,Wendell Carter Jr.'22-'23,Magic,C,"1,690",-1.3,1.2,-0.1,-0.5,1.9,1.4,-1.2,1.5,0.2,2.6
139,Pat Connaughton'22-'23,Bucks,"SG, SF","1,531",-0.3,1.2,0.9,-0.2,-0.5,-0.7,-0.3,0.9,0.6,2.6
139,Kyle Kuzma'22-'23,Wizards,"SF, PF","2,239",-1,0,-1,-0.8,2.4,1.6,-1,0.5,-0.5,2.6
139,Jusuf Nurkic'22-'23,Trail Blazers,C,"1,391",-1.2,2.1,0.9,-0.4,0.9,0.6,-1.1,2,0.9,2.6
139,Isaac Okoro'22-'23,Cavaliers,"SG, SF","1,727",-1,1.4,0.4,-0.3,-0.3,-0.7,-0.9,1.1,0.2,2.6
139,Dwight Powell'22-'23,Mavericks,C,"1,458",-1.7,1.2,-0.5,4.7,0.5,5.2,-0.5,1.2,0.7,2.6
139,Gary Trent Jr.'22-'23,Raptors,"SG, SF","2,118",1.1,-0.6,0.5,-2.7,-0.8,-3.5,0.4,-0.7,-0.3,2.6
147,Terance Mann'22-'23,Clippers,"PG, SG, SF","2,005",-0.2,-0.6,-0.8,2.1,-0.5,1.6,0.3,-0.6,-0.3,2.5
147,Moritz Wagner'22-'23,Magic,"PF, C","1,109",0,2.3,2.3,-1.9,0.1,-1.8,-0.4,2,1.6,2.5
149,Nicolas Batum'22-'23,Clippers,"SG, SF, PF","1,801",-1,0.2,-0.7,0.5,1.9,2.4,-0.7,0.6,-0.1,2.4
149,Hamidou Diallo'22-'23,Pistons,"SG, SF",996,-1.5,2.6,1.1,-0.5,4.5,4,-1.3,3.2,1.9,2.4
149,Davion Mitchell'22-'23,Kings,PG,"1,587",-2,2.2,0.1,-1.9,2.5,0.6,-2.2,2.4,0.2,2.4
149,Xavier Tillman'22-'23,Grizzlies,PF,"1,363",-1,1.9,0.9,-1.1,0.7,-0.4,-1.1,1.7,0.6,2.4
153,Saddiq Bey'22-'23,Hawks,"SF, PF","2,262",1.4,-2.4,-1,2.4,-2.1,0.2,1.7,-2.5,-0.8,2.3
153,Daniel Gafford'22-'23,Wizards,C,"1,604",0.4,0,0.4,0.1,-1.7,-1.6,0.4,-0.4,0,2.3
153,Anthony Lamb'22-'23,Warriors,"SF, PF","1,226",-1,2.3,1.3,-1.3,0.6,-0.7,-1.1,2.1,1,2.3
153,Kelly Oubre Jr.'22-'23,Hornets,SF,"1,548",0.2,0.5,0.8,-2.2,-0.7,-2.9,-0.2,0.3,0.2,2.3
153,Dennis Schroder'22-'23,Lakers,"PG, SG","2,403",-0.9,-0.4,-1.3,0.5,0.7,1.3,-0.7,-0.2,-0.9,2.3
153,Dennis Smith Jr.'22-'23,Hornets,PG,"1,390",-2.3,2.3,0,-5.3,7.1,1.8,-3,3.5,0.4,2.3
159,Jordan Clarkson'22-'23,Jazz,"PG, SG","1,988",2.1,-2.8,-0.7,2.1,-1.9,0.2,2.2,-2.8,-0.5,2.2
159,Zach Collins'22-'23,Spurs,"PF, C","1,441",-1.7,1.5,-0.2,-0.5,1.5,1,-1.5,1.7,0.2,2.2
159,Dorian Finney-Smith'22-'23,Nets,"SF, PF","2,110",-2.6,1.5,-1.1,0.2,0.5,0.6,-2.2,1.4,-0.8,2.2
159,Blake Griffin'22-'23,Celtics,"PF, C",575,-1.4,6.1,4.6,1.1,2.8,3.9,-1,5.7,4.7,2.2
159,Myles Turner'22-'23,Pacers,C,"1,825",-0.9,-0.2,-1,2.6,-0.2,2.3,-0.2,-0.2,-0.3,2.2
164,Josh Green'22-'23,Mavericks,"SG, SF","1,539",-1.4,0.7,-0.7,0.6,2.1,2.6,-1.1,1,-0.1,2.1
164,Christian Wood'22-'23,Mavericks,"PF, C","1,738",0.4,-0.2,0.2,0.2,-3,-2.9,0.3,-0.8,-0.4,2.1
166,Chris Boucher'22-'23,Raptors,"SF, PF","1,523",0.5,0.1,0.6,-3.1,0.3,-2.8,-0.3,0.1,-0.1,2
166,Garrison Mathews'22-'23,Hawks,"SG, SF",686,0.6,3.4,4,-5.9,3.4,-2.5,-0.7,3.7,3,2
168,Markelle Fultz'22-'23,Magic,"PG, SG","1,778",-0.2,-0.1,-0.3,-0.8,-1.4,-2.2,-0.3,-0.4,-0.7,1.9
168,Jordan Goodwin'22-'23,Wizards,SG,"1,106",0.1,1.7,1.8,-4.9,0.4,-4.5,-0.9,1.6,0.7,1.9
168,Luke Kornet'22-'23,Celtics,"PF, C",836,-0.2,2.2,2,-0.5,1.3,0.8,-0.3,2.1,1.8,1.9
168,Jalen McDaniels'22-'23,76ers,"SF, PF","2,015",-1.9,0.5,-1.3,0.9,0,0.9,-1.4,0.5,-0.9,1.9
168,Keegan Murray'22-'23,Kings,"SF, PF","2,576",-0.7,-0.7,-1.5,1.8,-1.9,-0.2,-0.3,-1,-1.3,1.9
168,Landry Shamet'22-'23,Suns,"SG, SF",991,0,1,1,-2.6,2.9,0.3,-0.5,1.4,0.9,1.9
168,Nikola Vucevic'22-'23,Bulls,C,"2,746",-0.9,0.1,-0.8,0.2,-3.2,-3,-0.7,-0.7,-1.4,1.9
175,Deni Avdija'22-'23,Wizards,SF,"2,020",-1.9,1,-1,-0.6,-0.2,-0.8,-1.8,0.8,-1,1.8
175,AJ Griffin'22-'23,Hawks,SF,"1,401",0.1,-1.1,-1,1.5,1.5,3,0.4,-0.6,-0.2,1.8
175,Jalen Johnson'22-'23,Hawks,"SF, PF","1,098",-0.6,1.1,0.4,-0.7,1.4,0.7,-0.7,1.2,0.5,1.8
175,Damion Lee'22-'23,Suns,"SG, SF","1,595",-0.9,0,-0.9,-2.2,3.3,1.1,-1.2,0.7,-0.5,1.8
175,Bobby Portis'22-'23,Bucks,"PF, C","1,925",0.1,-0.3,-0.2,-0.4,-2.9,-3.4,0,-0.9,-0.9,1.8
175,Matisse Thybulle'22-'23,Trail Blazers,"SG, SF","1,200",-2,2,0,-2.4,3.4,1,-2.3,2.5,0.2,1.8
181,Troy Brown Jr.'22-'23,Lakers,"SG, SF","1,984",-1.7,1,-0.6,-1.1,-1.5,-2.6,-1.6,0.6,-1.1,1.7
181,Andre Drummond'22-'23,Bulls,C,849,-1.6,2.7,1.1,-1.9,2.6,0.7,-1.7,2.8,1.1,1.7
181,Jalen Green'22-'23,Rockets,SG,"2,602",1.3,-2.9,-1.6,1.3,-2.4,-1.2,1.5,-2.9,-1.4,1.7
181,Aaron Holiday'22-'23,Hawks,"PG, SG",849,-1.5,2.4,1,-0.6,1.8,1.2,-1.4,2.5,1.1,1.7
181,Derrick Jones Jr.'22-'23,Bulls,"SF, PF",893,-0.7,1.1,0.4,0.6,3,3.7,-0.5,1.5,1.1,1.7
181,Grant Williams'22-'23,Celtics,"SF, PF","2,310",-0.7,-0.8,-1.5,-0.1,0.4,0.3,-0.6,-0.7,-1.3,1.7
187,Devin Vassell'22-'23,Spurs,"SG, SF","1,178",1,-0.3,0.7,-2.4,-1.3,-3.7,0.4,-0.5,-0.1,1.6
188,Devonte' Graham'22-'23,Spurs,PG,"1,338",1.5,-1.4,0.1,-3.3,0.1,-3.2,0.7,-1.2,-0.5,1.5
188,Javonte Green'22-'23,Bulls,"SG, SF",480,-0.7,3.5,2.7,0.8,3.7,4.4,-0.4,3.7,3.3,1.5
188,Trey Lyles'22-'23,Kings,PF,"1,365",-0.1,-0.9,-1.1,0.4,1.3,1.7,-0.1,-0.5,-0.6,1.5
188,Mike Muscala'22-'23,Celtics,C,966,0.5,-1.7,-1.2,3.4,2.7,6.1,1.1,-0.9,0.2,1.5
188,Karl-Anthony Towns'22-'23,Timberwolves,"PF, C","1,137",0.2,0.6,0.8,-3.4,-0.4,-3.8,-0.5,0.4,-0.1,1.5
188,Russell Westbrook'22-'23,Clippers,"PG, SG","2,318",0.5,-2.1,-1.6,1,-1.9,-0.9,0.6,-2.2,-1.5,1.5
194,Bojan Bogdanovic'22-'23,Pistons,"SF, PF","1,893",1.8,-3.1,-1.3,1.8,-3.2,-1.4,2,-3.3,-1.3,1.4
194,Brandon Clarke'22-'23,Grizzlies,"PF, C","1,090",-0.3,0.3,0,-2.5,1.8,-0.7,-0.8,0.6,-0.2,1.4
