,Player,Team,Position,Minutes,Off_box,Def_box,Tot_box,Off_oo,Def_oo,Tot_oo,Off_ov,Def_ov,Tot_ov,WAR
287,Patrick Beverley'22-'23,Bulls,"PG, SG, SF","1,816",-2.8,0.4,-2.3,-1.5,-0.6,-2.1,-2.7,0.2,-2.4,0.3
287,Max Christie'22-'23,Lakers,SG,545,-2.9,1.7,-1.2,-4.1,1.2,-2.9,-3.3,1.7,-1.6,0.3
287,Kessler Edwards'22-'23,Kings,SF,392,-1.8,-0.3,-2.1,2.9,0,3,-0.9,-0.2,-1.1,0.3
287,Usman Garuba'22-'23,Rockets,"PF, C",970,-1.9,0.9,-1.1,-4.6,-1.5,-6.1,-2.6,0.5,-2.1,0.3
287,Josh Giddey'22-'23,Thunder,"SF, PF","2,367",0.3,-2.1,-1.7,-2,-2.7,-4.6,-0.1,-2.3,-2.5,0.3
287,Alex Len'22-'23,Kings,C,215,-4.5,2.8,-1.7,-1.4,7.3,5.9,-4.2,3.9,-0.2,0.3
287,Kira Lewis Jr.'22-'23,Pelicans,PG,235,0.5,-1.6,-1.1,1.3,3.7,5.1,0.7,-0.6,0.1,0.3
287,Isaiah Livers'22-'23,Pistons,PF,"1,199",-2.5,0.1,-2.4,-1.2,0.2,-1,-2.4,0.2,-2.2,0.3
287,Tre Mann'22-'23,Thunder,PG,"1,183",-1.5,-1.1,-2.6,-1.9,1.5,-0.4,-1.7,-0.6,-2.3,0.3
287,Isaiah Mobley'22-'23,Cavaliers,PF,84,-0.2,3.1,2.9,-1.3,13,11.7,-0.5,5.3,4.8,0.3
287,Terrence Ross'22-'23,Suns,"SG, SF","1,399",-0.5,-1.8,-2.3,-0.2,-1.5,-1.7,-0.5,-1.8,-2.3,0.3
287,Thaddeus Young'22-'23,Raptors,PF,795,-1.7,0.9,-0.8,-2.8,-2.9,-5.7,-2,0.2,-1.9,0.3
299,Brandon Boston Jr.'22-'23,Clippers,SG,249,0.9,-1,-0.1,-3.1,-3.2,-6.3,0.2,-1.5,-1.3,0.2
299,Jarrell Brantley'22-'23,Jazz,PF,39,5.8,2.2,8,0.4,9.8,10.2,5,4,9.1,0.2
299,Thomas Bryant'22-'23,Nuggets,C,"1,081",-0.7,-1.3,-2,-0.5,-3,-3.6,-0.7,-1.8,-2.4,0.2
299,Jared Butler'22-'23,Thunder,PG,77,1.6,0.4,2,-2.5,-0.4,-2.8,0.9,0.2,1.1,0.2
299,Facundo Campazzo'22-'23,Mavericks,PG,52,-6.5,11,4.5,-10.3,12,1.7,-7.7,11.9,4.2,0.2
299,Matthew Dellavedova'22-'23,Kings,PG,213,-2.7,3,0.4,-8.9,4.8,-4.1,-4.2,3.6,-0.6,0.2
299,Moussa Diabate'22-'23,Clippers,PF,195,-1.6,1.3,-0.3,-1.3,-2.9,-4.2,-1.6,0.5,-1.1,0.2
299,Ayo Dosunmu'22-'23,Bulls,"PG, SG","2,098",-2.3,0.1,-2.3,-4.4,1.5,-2.9,-2.9,0.3,-2.6,0.2
299,Jeff Dowtin Jr.'22-'23,Raptors,PG,259,-0.5,-0.4,-0.9,0.7,-1.8,-1.2,-0.4,-0.7,-1.1,0.2
299,PJ Dozier'22-'23,Kings,SF,85,-4.9,7.8,2.9,-7.9,4.3,-3.6,-5.9,7.6,1.7,0.2
299,Ron Harper Jr.'22-'23,Raptors,SF,48,6.2,-2.3,3.9,5.8,5.4,11.2,6.4,-0.8,5.6,0.2
299,Andre Iguodala'22-'23,Warriors,SF,113,-3.7,1.3,-2.4,6.2,3.5,9.7,-1.8,1.8,0,0.2
299,Alize Johnson'22-'23,Spurs,PF,30,-5.8,14.5,8.7,1.6,12.8,14.4,-4.5,15.1,10.6,0.2
299,Corey Kispert'22-'23,Wizards,SF,"2,093",-0.4,-1.7,-2.1,-0.5,-3,-3.5,-0.4,-2.1,-2.5,0.2
299,Saben Lee'22-'23,Suns,PG,373,-1.3,0.2,-1.1,-7.3,2.7,-4.6,-2.6,0.7,-2,0.2
299,Mac McClung'22-'23,76ers,PG,41,2.8,-1.2,1.6,2.9,14.8,17.8,2.9,2.1,5,0.2
299,Jaylen Nowell'22-'23,Timberwolves,SG,"1,314",0.2,-2.8,-2.5,-1.3,0,-1.3,-0.1,-2.4,-2.4,0.2
299,Micah Potter'22-'23,Jazz,C,52,1.7,2,3.7,-9,8.1,-0.8,-0.4,3.5,3,0.2
299,Orlando Robinson'22-'23,Heat,C,425,-1.4,-0.8,-2.3,-0.2,1.7,1.6,-1.3,-0.4,-1.6,0.2
299,Jeremiah Robinson-Earl'22-'23,Thunder,"PF, C",814,-1.8,-0.6,-2.4,1.8,-2.8,-0.9,-1.1,-1.1,-2.3,0.2
299,Jaden Springer'22-'23,76ers,PG,106,2.9,-1.6,1.2,-3.8,4,0.1,1.6,-0.6,1,0.2
299,Lamar Stevens'22-'23,Cavaliers,PF,"1,129",-3.2,1.4,-1.7,-2,-1.9,-3.8,-3.1,0.8,-2.3,0.2
299,Edmond Sumner'22-'23,Nets,"PG, SG",740,-1.2,-1.5,-2.7,-1.4,1.5,0.1,-1.3,-1,-2.3,0.2
299,Kemba Walker'22-'23,Mavericks,PG,144,2.9,-2.1,0.8,-2.1,1.5,-0.6,2.1,-1.4,0.6,0.2
299,Ziaire Williams'22-'23,Grizzlies,"SG, SF",573,-4.9,3.9,-0.9,-4,-1.8,-5.8,-5,2.9,-2.1,0.2
324,Dominick Barlow'22-'23,Spurs,SF,408,-2.1,0.3,-1.7,-3.2,-0.4,-3.6,-2.4,0.3,-2,0.1
324,Oshae Brissett'22-'23,Pacers,PF,"1,083",-1.8,-1.4,-3.2,-0.3,0.8,0.6,-1.6,-0.9,-2.6,0.1
324,Kendall Brown'22-'23,Pacers,SF,40,-3.5,2.7,-0.8,-6.1,10.5,4.4,-4.2,4.6,0.4,0.1
324,Vlatko Cancar'22-'23,Nuggets,SF,899,-1,-0.8,-1.8,-4.5,-0.5,-5,-1.8,-0.8,-2.6,0.1
324,Justin Champagnie'22-'23,Celtics,SF,44,3.9,-3.5,0.4,5.3,-8.1,-2.8,4.3,-4.7,-0.4,0.1
324,Jarrett Culver'22-'23,Hawks,SF,137,-3,1.2,-1.8,-1.5,1.5,0.1,-2.9,1.3,-1.6,0.1
324,Darius Days'22-'23,Rockets,PF,25,4.9,-2,2.9,-0.9,6.8,5.8,4.1,-0.1,4,0.1
324,Tyler Dorsey'22-'23,Mavericks,SF,8,19.4,6.6,26,-13.3,17.2,3.9,13.7,9.1,22.8,0.1
324,Devon Dotson'22-'23,Wizards,PG,53,-4.2,5,0.9,-6,5.8,-0.2,-4.8,5.5,0.8,0.1
324,David Duke Jr.'22-'23,Nets,PG,233,-2.6,1.2,-1.4,-5.2,2,-3.2,-3.3,1.5,-1.8,0.1
