,,,,,,"~~~eRAPTOR~~~",,,"&nbsp",,,,
"Player","Age","Team(s)","Pos","G","MP","Off","Def","Tot","WAR","WAR/82",,,
"Aaron Gordon",28,"DEN","PF",61,1911,1.142331286,0.815782545,1.958113832,4.84,5.928810676,,,
"Michael Porter Jr.",25,"DEN","SF",66,2087,1.363627657,0.581185425,1.944813081,5.274457825,6.455306592,,,
"Matisse Thybulle",26,"POR","SF",63,1475,-1.088467522,3.031977588,1.943510065,3.686590786,4.511946932,,,
"Kevin Love",35,"MIA","PF",47,822,0.539400967,1.377076725,1.916477691,2.063990276,2.564351555,,,
"Dereon Seabron",23,"NOP","SG",6,55,-1.314318292,3.168859109,1.854540816,0.136145704,0.166626086,,,
"Evan Mobley",22,"CLE","PF",38,1183,-0.529282968,2.371205107,1.841922139,2.901767537,3.551416985,,,
"Tobias Harris",31,"PHI","PF",60,2029,1.210643114,0.617816432,1.828459546,4.984368008,6.100271293,,,
"Jose Alvarado",25,"NOP","PG",46,804,-1.215250149,3.04280483,1.827554681,1.977724867,2.420499091,,,
"Pascal Siakam",29,"TOR"," IND","PF",66,2236,2.723295639,-0.928038632,1.795257007,5.43988116,6.614586365,,
"Bogdan Bogdanović",31,"ATL","SG",63,1868,1.69660622,0.002595817,1.699202037,4.44,5.511456032,,,
"Sam Hauser",26,"BOS","SF",65,1374,1.104764911,0.569220793,1.673985704,3.238009258,4.022981199,,,
"Devonte' Graham",28,"SAS","PG",14,115,-0.076568216,1.730310096,1.65374188,0.2709676,0.331631989,,,
"Stephen Curry",35,"GSW","PG",60,1970,3.15830003,-1.504560875,1.653739156,4.612543758,5.730736185,,,
"Grayson Allen",28,"PHO","SG",61,2054,1.376121995,0.219715317,1.595837312,4.756678465,5.82160648,,,
"Jalen Suggs",22,"ORL","SG",60,1603,-0.355074741,1.809117342,1.454042601,3.582135323,4.384105918,,,
"Naji Marshall",26,"NOP","SF",55,1045,0.203379217,1.215637884,1.419017101,2.325029039,2.845557928,,,
"Caris LeVert",29,"CLE","SG",55,1552,0.265528225,1.138876567,1.404404793,3.418787153,4.184187262,,,
"Dereck Lively II",19,"DAL","C",48,1162,0.005790575,1.382574251,1.388364826,2.568847186,3.143962228,,,
"Luke Kornet",28,"BOS","C",48,723,0.715153309,0.654594317,1.369747626,1.578137965,1.960716866,,,
