"Player","Season","Team","Offensive Archetype","Minutes","Pos","Age","LEBRON","O-LEBRON","D-LEBRON","WAR","LEBRON Contract Value","boxLEBRON","boxOLEBRON","boxDLEBRON"
"Taylor Hendricks","2023-24","UTA","#N/A","181","PF","0","-0.71","-0.62","-0.09","0.20","690,385.00","-0.63","-0.60","-0.04"
"Deni Avdija","2023-24","WAS","Athletic Finisher","1,286","SF","23","-0.73","-0.99","0.25","1.40","4,819,077.00","-1.34","-0.92","-0.42"
"Ibou Badji","2023-24","POR","Roll + Cut Big","163","C","21","-0.73","-1.91","1.18","0.20","610,957.00","-0.52","-1.82","1.30"
"Jacob Toppin","2023-24","NYK","Low Minute","4","SF","23","-0.73","-0.47","-0.26","0.00","14,685.00","-0.70","-0.42","-0.28"
"Lindell Wigginton","2023-24","MIL","Low Minute","8","PG","25","-0.73","-0.15","-0.58","0.00","28,550.00","-0.55","-0.06","-0.50"
"E.J. Liddell","2023-24","NOP","Low Minute","23","PF","23","-0.74","-0.43","-0.31","0.00","86,247.00","-0.76","-0.39","-0.37"
"Harry Giles III","2023-24","BRK","Roll + Cut Big","73","C","25","-0.74","-0.38","-0.36","0.10","272,006.00","-0.79","-0.60","-0.19"
"Oshae Brissett","2023-24","BOS","Stretch Big","350","SF","25","-0.74","-0.29","-0.46","0.40","1,303,416.00","-1.31","-0.72","-0.59"
"Charlie Brown Jr.","2023-24","NYK","Low Minute","6","SG","26","-0.75","-0.49","-0.26","0.00","23,559.00","-0.71","-0.42","-0.29"
"Onyeka Okongwu","2023-24","ATL","Roll + Cut Big","1,135","C","23","-0.75","-0.89","0.14","1.20","4,213,417.00","-1.22","-1.30","0.08"
"Kelly Oubre Jr.","2023-24","PHI","Athletic Finisher","944","SF","28","-0.76","-0.41","-0.35","1.00","3,477,221.00","-0.67","-0.67","0.00"
"Armoni Brooks","2023-24","BRK","Off Screen Shooter","104","PG","25","-0.77","-0.14","-0.63","0.10","382,664.00","-1.02","-0.59","-0.44"
