"Player","Season","Team","Offensive Archetype","Minutes","Pos","Age","LEBRON","O-LEBRON","D-LEBRON","WAR","LEBRON Contract Value","boxLEBRON","boxOLEBRON","boxDLEBRON"
"Nikola Jokic","2023-24","DEN","Post Scorer","1,584","C","28","6.56","5.38","1.18","8.60","29,852,693.00","5.97","4.82","1.15"
"Giannis Antetokounmpo","2023-24","MIL","Shot Creator","1,618","PF","29","6.16","5.10","1.06","8.50","29,280,300.00","5.33","4.62","0.70"
"Joel Embiid","2023-24","PHI","Shot Creator","1,157","C","29","5.80","4.77","1.03","5.80","20,143,002.00","6.06","5.20","0.86"
"Shai Gilgeous-Alexander","2023-24","OKC","Shot Creator","1,615","PG","25","5.70","4.68","1.01","8.00","27,794,844.00","6.36","5.29","1.07"
"Luka Doncic","2023-24","DAL","Shot Creator","1,499","PG","24","5.46","6.17","-0.72","7.30","25,111,052.00","5.32","5.90","-0.58"
"Donovan Mitchell","2023-24","CLE","Primary Ball Handler","1,283","SG","27","4.60","4.14","0.46","5.60","19,297,223.00","4.25","3.72","0.53"
"Tyrese Haliburton","2023-24","IND","Primary Ball Handler","1,158","PG","23","4.34","5.84","-1.50","4.90","16,816,864.00","4.82","5.98","-1.16"
"Anthony Davis","2023-24","LAL","Post Scorer","1,651","C","30","4.25","1.99","2.25","6.80","23,665,703.00","3.30","1.43","1.87"
"James Harden","2023-24","LAC","Shot Creator","1,401","PG","34","4.06","3.10","0.97","5.70","19,551,356.00","3.98","2.96","1.02"
"Kawhi Leonard","2023-24","LAC","Shot Creator","1,445","SF","32","3.98","3.17","0.81","5.80","19,936,050.00","3.62","2.87","0.74"
"Jayson Tatum","2023-24","BOS","Shot Creator","1,613","PF","25","3.71","3.11","0.61","6.20","21,362,286.00","4.49","3.70","0.79"
"Kyrie Irving","2023-24","DAL","Shot Creator","900","SG","31","3.62","4.02","-0.40","3.40","11,748,933.00","2.59","3.22","-0.63"
"Domantas Sabonis","2023-24","SAC","Roll + Cut Big","1,631","C","27","3.23","1.51","1.72","5.80","19,960,072.00","2.89","1.88","1.01"
"Lauri Markkanen","2023-24","UTA","Off Screen Shooter","1,267","PF","26","3.17","3.24","-0.07","4.40","15,347,879.00","2.54","3.11","-0.57"
"LeBron James","2023-24","LAL","Shot Creator","1,527","PF","39","3.11","2.93","0.18","5.30","18,318,544.00","2.58","2.42","0.16"
"Devin Booker","2023-24","PHO","Shot Creator","1,413","PG","27","3.06","4.09","-1.03","4.90","16,804,454.00","2.93","3.69","-0.76"
"Kevin Love","2023-24","MIA","Stretch Big","664","PF","35","2.96","2.18","0.78","2.20","7,756,018.00","2.19","1.58","0.61"
"Damian Lillard","2023-24","MIL","Primary Ball Handler","1,587","PG","33","2.91","3.84","-0.94","5.30","18,354,485.00","3.17","4.19","-1.03"
"Tyrese Maxey","2023-24","PHI","Primary Ball Handler","1,573","PG","23","2.89","3.85","-0.97","5.20","18,132,102.00","2.94","3.37","-0.43"
"Kevin Durant","2023-24","PHO","Shot Creator","1,529","PF","35","2.88","3.29","-0.42","5.10","17,583,554.00","2.79","2.72","0.07"
"Jalen Brunson","2023-24","NYK","Primary Ball Handler","1,641","PG","27","2.86","3.53","-0.67","5.40","18,804,128.00","3.12","3.20","-0.09"
"Derrick White","2023-24","BOS","Movement Shooter","1,412","SG","29","2.82","1.51","1.31","4.60","16,077,445.00","2.72","1.60","1.12"
"Rudy Gobert","2023-24","MIN","Roll + Cut Big","1,555","C","31","2.79","-0.49","3.28","5.10","17,598,436.00","2.90","-0.61","3.51"
"Jusuf Nurkic","2023-24","PHO","Post Scorer","1,235","C","29","2.73","0.90","1.83","4.00","13,829,283.00","2.24","0.33","1.90"
"Jonathan Isaac","2023-24","ORL","Stretch Big","423","PF","26","2.69","0.26","2.43","1.40","4,700,805.00","1.83","-0.22","2.05"
"Kristaps Porzingis","2023-24","BOS","Versatile Big","1,012","C","28","2.68","1.62","1.06","3.20","11,222,231.00","3.16","1.82","1.34"
"Paul George","2023-24","LAC","Shot Creator","1,465","PF","33","2.59","2.08","0.51","4.60","15,984,908.00","2.61","2.41","0.20"
"De'Aaron Fox","2023-24","SAC","Primary Ball Handler","1,425","PG","26","2.47","2.64","-0.17","4.40","15,168,901.00","2.40","2.75","-0.35"
"Victor Wembanyama","2023-24","SAS","Stretch Big","1,201","C","20","2.43","-0.07","2.50","3.70","12,688,678.00","2.78","0.40","2.38"
"Andre Drummond","2023-24","CHI","Roll + Cut Big","778","C","30","2.38","0.87","1.51","2.40","8,134,627.00","2.13","0.56","1.57"
"Franz Wagner","2023-24","ORL","Secondary Ball Handler","1,321","SF","22","2.30","1.20","1.10","3.90","13,594,364.00","1.09","0.78","0.31"
"Jarrett Allen","2023-24","CLE","Roll + Cut Big","1,222","C","25","2.28","0.68","1.61","3.60","12,530,918.00","2.60","0.71","1.89"
"Nic Claxton","2023-24","BRK","Roll + Cut Big","1,101","C","24","2.23","-0.34","2.57","3.20","11,160,015.00","1.74","-0.70","2.44"
"Stephen Curry","2023-24","GSW","Primary Ball Handler","1,375","PG","35","2.23","3.69","-1.45","4.00","13,935,076.00","2.43","3.73","-1.30"
"Jonas Valanciunas","2023-24","NOP","Post Scorer","1,261","C","31","2.18","1.03","1.15","3.70","12,645,561.00","2.48","0.77","1.71"
"LaMelo Ball","2023-24","CHO","Primary Ball Handler","711","PG","22","2.12","3.02","-0.90","2.00","7,046,047.00","1.49","2.52","-1.02"
"Myles Turner","2023-24","IND","Stretch Big","1,261","C","27","2.07","0.85","1.22","3.60","12,354,265.00","2.09","1.52","0.57"
"Fred VanVleet","2023-24","HOU","Primary Ball Handler","1,670","PG","29","2.04","1.19","0.86","4.70","16,268,855.00","2.16","1.42","0.75"
"Goga Bitadze","2023-24","ORL","Roll + Cut Big","809","C","24","2.04","-0.32","2.36","2.30","7,874,007.00","1.76","-0.96","2.71"
"Bam Adebayo","2023-24","MIA","Shot Creator","1,324","C","26","1.94","0.02","1.92","3.60","12,589,332.00","1.69","0.21","1.48"
"Chet Holmgren","2023-24","OKC","Stretch Big","1,444","C","21","1.93","0.15","1.77","4.00","13,698,708.00","3.47","1.04","2.43"
"Jimmy Butler","2023-24","MIA","Shot Creator","1,114","PF","34","1.89","2.08","-0.19","3.00","10,484,833.00","1.79","1.92","-0.13"
"Draymond Green","2023-24","GSW","Stretch Big","530","PF","33","1.87","-0.02","1.89","1.40","4,964,326.00","1.16","-0.26","1.42"
"Ja Morant","2023-24","MEM","Secondary Ball Handler","318","PG","24","1.77","1.88","-0.11","0.80","2,908,419.00","1.88","1.99","-0.11"
"Mike Conley","2023-24","MIN","Stationary Shooter","1,254","PG","36","1.77","1.21","0.56","3.30","11,480,876.00","2.08","1.20","0.88"
"Pascal Siakam","2023-24","TOR/IND","Shot Creator","1,581","PF","29","1.67","1.34","0.33","4.10","14,132,050.00","0.40","1.15","-0.75"
"Trae Young","2023-24","ATL","Primary Ball Handler","1,526","PG","25","1.65","3.54","-1.88","3.90","13,581,471.00","1.78","3.57","-1.79"
"Scottie Barnes","2023-24","TOR","Stationary Shooter","1,656","SG","22","1.63","0.77","0.86","4.20","14,669,777.00","1.43","0.98","0.45"
"Mark Williams","2023-24","CHO","Roll + Cut Big","508","C","22","1.39","0.28","1.11","1.20","4,237,422.00","1.01","-0.02","1.03"
"CJ McCollum","2023-24","NOP","Primary Ball Handler","1,088","PG","32","1.35","1.24","0.11","2.60","8,969,839.00","2.10","1.71","0.39"
"Jaylen Brown","2023-24","BOS","Shot Creator","1,500","SF","27","1.34","1.17","0.17","3.60","12,340,645.00","2.23","1.94","0.29"
"Anthony Edwards","2023-24","MIN","Shot Creator","1,571","SG","22","1.33","1.09","0.24","3.70","12,907,855.00","2.44","1.93","0.50"
"Julius Randle","2023-24","NYK","Shot Creator","1,630","PF","29","1.33","1.46","-0.12","3.90","13,388,534.00","2.02","1.80","0.22"
"Collin Sexton","2023-24","UTA","Primary Ball Handler","1,191","SG","25","1.28","2.92","-1.64","2.80","9,638,903.00","0.48","2.18","-1.70"
"Keegan Murray","2023-24","SAC","Movement Shooter","1,387","SF","23","1.27","0.19","1.09","3.20","11,219,072.00","0.71","0.24","0.47"
"Jamal Murray","2023-24","DEN","Shot Creator","1,112","PG","26","1.24","2.07","-0.83","2.60","8,911,372.00","2.03","2.45","-0.42"
"Alperen Sengun","2023-24","HOU","Shot Creator","1,537","C","21","1.21","0.83","0.37","3.50","12,203,811.00","2.10","1.36","0.73"
"Day'Ron Sharpe","2023-24","BRK","Roll + Cut Big","592","C","22","1.19","0.26","0.93","1.40","4,681,648.00","1.15","0.05","1.11"
"Isaiah Hartenstein","2023-24","NYK","Roll + Cut Big","1,161","C","25","1.17","-1.13","2.29","2.60","9,116,830.00","1.04","-1.33","2.37"
"Isaiah Jackson","2023-24","IND","Roll + Cut Big","483","C","22","1.16","-0.62","1.78","1.10","3,784,448.00","1.43","-0.38","1.82"
"Jakob Poeltl","2023-24","TOR","Roll + Cut Big","955","C","28","1.15","-1.18","2.33","2.20","7,456,088.00","0.35","-1.21","1.57"
"Karl-Anthony Towns","2023-24","MIN","Stretch Big","1,561","PF","28","1.13","0.45","0.67","3.50","12,134,922.00","2.21","1.02","1.20"
"Max Strus","2023-24","CLE","Movement Shooter","1,488","SF","27","1.10","0.21","0.90","3.30","11,486,995.00","0.85","-0.30","1.15"
"De'Anthony Melton","2023-24","PHI","Secondary Ball Handler","959","SG","25","1.05","0.34","0.71","2.10","7,301,657.00","0.77","0.15","0.63"
"Brook Lopez","2023-24","MIL","Stretch Big","1,531","C","35","1.02","-0.46","1.48","3.30","11,525,510.00","1.79","0.17","1.62"
"Payton Pritchard","2023-24","BOS","Movement Shooter","1,006","PG","26","1.02","1.69","-0.68","2.20","7,578,919.00","0.20","1.02","-0.82"
"Chris Paul","2023-24","GSW","Primary Ball Handler","882","PG","38","0.98","0.89","0.09","1.90","6,578,523.00","1.16","0.80","0.36"
"Clint Capela","2023-24","ATL","Roll + Cut Big","1,163","C","29","0.94","0.06","0.89","2.50","8,574,622.00","0.83","-0.02","0.85"
"Aaron Gordon","2023-24","DEN","Shot Creator","1,378","PF","28","0.93","0.25","0.68","2.90","10,127,494.00","0.34","0.11","0.23"
"Bogdan Bogdanovic","2023-24","ATL","Movement Shooter","1,280","SG","31","0.93","1.71","-0.78","2.70","9,391,507.00","-0.29","1.09","-1.38"
"Jared Butler","2023-24","WAS","Shot Creator","128","SG","23","0.93","0.83","0.10","0.30","941,120.00","0.44","0.60","-0.17"
"Donte DiVincenzo","2023-24","NYK","Movement Shooter","1,106","SG","27","0.92","0.86","0.06","2.30","8,103,441.00","1.69","1.30","0.39"
"Khris Middleton","2023-24","MIL","Shot Creator","1,083","SF","32","0.92","1.74","-0.83","2.30","7,920,745.00","1.44","1.68","-0.24"
"Brandon Ingram","2023-24","NOP","Shot Creator","1,457","SF","26","0.90","0.99","-0.08","3.10","10,624,739.00","1.51","1.48","0.03"
"Paolo Banchero","2023-24","ORL","Shot Creator","1,674","PF","21","0.90","0.39","0.51","3.50","12,204,256.00","1.33","0.69","0.64"
"Sandro Mamukelashvili","2023-24","SAS","Stretch Big","177","C","24","0.88","-0.07","0.96","0.40","1,284,836.00","0.59","0.10","0.49"
"Spencer Dinwiddie","2023-24","BRK","Shot Creator","1,374","PG","30","0.88","1.34","-0.45","2.90","9,959,519.00","0.80","1.13","-0.33"
"Jaren Jackson Jr.","2023-24","MEM","Shot Creator","1,428","C","24","0.86","-0.39","1.26","3.00","10,286,286.00","0.38","-0.50","0.88"
"Tobias Harris","2023-24","PHI","Shot Creator","1,456","PF","31","0.84","0.87","-0.03","3.00","10,402,917.00","1.08","0.75","0.33"
"Alex Caruso","2023-24","CHI","Stationary Shooter","1,110","SG","29","0.82","-1.17","1.99","2.30","7,884,044.00","0.25","-0.87","1.12"
"Dario Saric","2023-24","GSW","Stretch Big","903","C","29","0.82","0.67","0.15","1.90","6,421,344.00","0.67","0.76","-0.09"
"T.J. McConnell","2023-24","IND","Primary Ball Handler","646","PG","31","0.82","0.84","-0.02","1.30","4,594,608.00","0.94","1.50","-0.56"
"Trayce Jackson-Davis","2023-24","GSW","Roll + Cut Big","466","PF","23","0.80","-0.08","0.88","1.00","3,295,517.00","0.80","-0.41","1.21"
"Cameron Johnson","2023-24","BRK","Stationary Shooter","1,079","PF","27","0.76","1.24","-0.48","2.20","7,531,224.00","0.04","0.43","-0.39"
"Kevin Huerter","2023-24","SAC","Movement Shooter","1,094","SG","25","0.73","0.15","0.58","2.20","7,573,244.00","0.78","0.33","0.45"
"Ivica Zubac","2023-24","LAC","Roll + Cut Big","1,030","C","26","0.71","-0.41","1.12","2.00","7,074,318.00","1.26","0.00","1.26"
"DeMar DeRozan","2023-24","CHI","Shot Creator","1,754","SF","34","0.70","0.90","-0.20","3.50","12,009,842.00","1.02","0.94","0.08"
"Walker Kessler","2023-24","UTA","Roll + Cut Big","955","C","22","0.68","-1.36","2.03","1.90","6,492,886.00","1.01","-1.69","2.70"
"Alex Len","2023-24","SAC","Roll + Cut Big","149","C","30","0.66","-0.42","1.08","0.30","1,009,169.00","0.09","-0.64","0.73"
"Jalen Smith","2023-24","IND","Stretch Big","615","C","23","0.61","0.45","0.16","1.20","4,099,394.00","0.23","0.60","-0.38"
"Mitchell Robinson","2023-24","NYK","Roll + Cut Big","613","C","25","0.61","-1.36","1.97","1.20","4,080,631.00","0.40","-1.40","1.80"
"Russell Westbrook","2023-24","LAC","Shot Creator","1,056","PG","35","0.58","0.87","-0.29","2.00","6,956,610.00","0.80","0.83","-0.03"
"Paul Reed","2023-24","PHI","Roll + Cut Big","737","C","24","0.57","-0.38","0.94","1.40","4,833,232.00","-0.24","-1.10","0.86"
"Dean Wade","2023-24","CLE","Stationary Shooter","832","PF","27","0.56","-1.19","1.75","1.60","5,443,623.00","-0.20","-1.53","1.34"
"Nikola Vucevic","2023-24","CHI","Post Scorer","1,490","C","33","0.53","0.29","0.24","2.80","9,659,466.00","0.62","0.09","0.53"
"Amen Thompson","2023-24","HOU","Athletic Finisher","458","SF","21","0.52","-0.65","1.17","0.90","2,963,648.00","-0.26","-1.16","0.90"
"Dyson Daniels","2023-24","NOP","Stationary Shooter","1,048","PG","20","0.52","-0.79","1.32","2.00","6,773,937.00","-0.39","-1.36","0.98"
"Dereck Lively II","2023-24","DAL","Roll + Cut Big","935","C","19","0.50","-0.88","1.38","1.70","5,995,410.00","0.16","-1.24","1.40"
"Kevon Looney","2023-24","GSW","Roll + Cut Big","858","C","27","0.49","-0.63","1.12","1.60","5,487,810.00","0.42","-0.69","1.12"
"Evan Mobley","2023-24","CLE","Roll + Cut Big","748","PF","22","0.47","-0.80","1.27","1.40","4,754,371.00","1.41","-0.60","2.00"
"Malik Monk","2023-24","SAC","Secondary Ball Handler","1,140","SG","25","0.47","0.85","-0.38","2.10","7,240,895.00","0.43","1.06","-0.63"
"Jalen Johnson","2023-24","ATL","Athletic Finisher","1,088","SF","22","0.46","-0.70","1.16","2.00","6,877,928.00","0.15","-0.75","0.91"
"Nikola Jovic","2023-24","MIA","Athletic Finisher","317","PF","20","0.45","-0.83","1.27","0.60","2,000,950.00","-0.38","-1.29","0.91"
"Daniel Gafford","2023-24","WAS","Roll + Cut Big","1,100","C","25","0.43","-0.90","1.33","2.00","6,895,246.00","0.50","-1.16","1.66"
"Desmond Bane","2023-24","MEM","Primary Ball Handler","1,277","SG","25","0.43","1.40","-0.97","2.30","7,997,420.00","0.30","0.87","-0.57"
"Immanuel Quickley","2023-24","NYK/TOR","Secondary Ball Handler","1,102","SG","24","0.40","0.77","-0.37","2.00","6,843,724.00","0.32","0.99","-0.67"
"Michael Porter Jr.","2023-24","DEN","Movement Shooter","1,544","SF","25","0.38","0.65","-0.27","2.80","9,518,912.00","0.59","0.25","0.34"
"Devonte' Graham","2023-24","SAS","Secondary Ball Handler","88","PG","28","0.37","0.03","0.33","0.20","536,554.00","0.05","-0.11","0.16"
"Ryan Rollins","2023-24","WAS","Slasher","66","PG","21","0.37","-0.05","0.41","0.10","403,576.00","-0.12","-0.19","0.07"
"Malcolm Cazalon","2023-24","DET","Low Minute","3","SG","22","0.35","0.02","0.33","0.00","15,748.00","0.30","0.00","0.30"
"Herbert Jones","2023-24","NOP","Stationary Shooter","1,253","SF","25","0.34","-0.72","1.06","2.20","7,607,539.00","0.38","-0.76","1.14"
"Jaylin Williams","2023-24","OKC","Stretch Big","482","C","21","0.33","-0.63","0.95","0.80","2,908,580.00","-0.13","-0.84","0.71"
"Mikal Bridges","2023-24","BRK","Secondary Ball Handler","1,655","SF","27","0.30","1.26","-0.97","2.90","9,890,716.00","-0.02","0.70","-0.72"
"Ben Simmons","2023-24","BRK","Shot Creator","209","PG","27","0.29","-0.39","0.67","0.40","1,243,732.00","0.26","-0.47","0.73"
"Eugene Omoruyi","2023-24","WAS","Stretch Big","110","SF","26","0.29","0.16","0.13","0.20","653,120.00","-0.21","0.02","-0.23"
"Moritz Wagner","2023-24","ORL","Roll + Cut Big","874","C","0","0.29","0.53","-0.25","1.50","5,202,657.00","0.16","0.28","-0.12"
"Dejounte Murray","2023-24","ATL","Primary Ball Handler","1,600","SG","27","0.27","1.27","-1.00","2.70","9,460,078.00","-0.03","1.08","-1.10"
"Jalen Williams","2023-24","OKC","Primary Ball Handler","1,405","PF","22","0.26","0.23","0.03","2.40","8,291,851.00","1.30","1.00","0.30"
"Xavier Tillman","2023-24","MEM","Roll + Cut Big","700","C","25","0.26","-1.70","1.96","1.20","4,123,820.00","-0.40","-2.10","1.70"
"Cam Whitmore","2023-24","HOU","Movement Shooter","397","SF","19","0.25","0.79","-0.54","0.70","2,332,626.00","0.01","0.61","-0.61"
"Josh Okogie","2023-24","PHO","Athletic Finisher","767","SG","25","0.25","-0.31","0.56","1.30","4,507,939.00","-0.62","-0.90","0.28"
"Jrue Holiday","2023-24","BOS","Stationary Shooter","1,480","PG","33","0.25","-0.08","0.33","2.50","8,701,312.00","1.29","0.46","0.83"
"Sam Hauser","2023-24","BOS","Movement Shooter","1,017","SF","26","0.25","0.61","-0.36","1.70","5,981,381.00","-0.59","-0.17","-0.43"
"Monte Morris","2023-24","DET","Stationary Shooter","49","PG","28","0.24","-0.04","0.28","0.10","288,003.00","0.19","-0.09","0.28"
"Wendell Carter Jr.","2023-24","ORL","Stretch Big","560","C","24","0.24","-0.87","1.11","0.90","3,285,541.00","0.01","-0.49","0.50"
"Duop Reath","2023-24","POR","Stretch Big","633","C","27","0.20","0.33","-0.12","1.10","3,655,063.00","-0.58","-0.26","-0.32"
"Grayson Allen","2023-24","PHO","Stationary Shooter","1,386","SG","28","0.18","0.17","0.01","2.30","7,936,849.00","-0.01","-0.15","0.14"
"Jared Rhoden","2023-24","DET","Low Minute","30","SG","24","0.18","-0.18","0.36","0.00","170,010.00","0.14","-0.14","0.28"
"Josh Hart","2023-24","NYK","Stationary Shooter","1,349","SF","28","0.18","-0.96","1.14","2.20","7,718,303.00","-0.35","-1.51","1.16"
"Buddy Hield","2023-24","IND","Movement Shooter","1,243","SF","31","0.17","0.51","-0.34","2.00","7,090,746.00","-0.24","1.00","-1.23"
"Jose Alvarado","2023-24","NOP","Movement Shooter","480","PG","25","0.17","0.06","0.11","0.80","2,743,117.00","0.05","-0.10","0.15"
"Sam Merrill","2023-24","CLE","Off Screen Shooter","489","SG","27","0.15","1.65","-1.50","0.80","2,767,459.00","0.45","1.79","-1.34"
"Charles Bassey","2023-24","SAS","Roll + Cut Big","205","C","23","0.14","-1.46","1.60","0.30","1,159,225.00","0.34","-1.28","1.62"
"Tari Eason","2023-24","HOU","Athletic Finisher","480","PF","22","0.12","-0.68","0.80","0.80","2,685,803.00","0.22","-0.92","1.14"
"Kyle Lowry","2023-24","MIA","Movement Shooter","1,037","PG","37","0.11","-1.49","1.60","1.70","5,786,473.00","-0.39","-1.28","0.90"
"Trey Murphy III","2023-24","NOP","Movement Shooter","595","SF","23","0.10","0.74","-0.64","1.00","3,298,636.00","0.24","0.91","-0.66"
"Amari Bailey","2023-24","CHO","Low Minute","11","PG","19","0.09","-0.24","0.33","0.00","58,460.00","0.11","-0.25","0.36"
"Caris LeVert","2023-24","CLE","Secondary Ball Handler","995","SG","29","0.09","0.61","-0.52","1.60","5,495,713.00","0.59","0.67","-0.07"
"Jalen Suggs","2023-24","ORL","Stationary Shooter","1,164","SG","22","0.09","-1.18","1.28","1.90","6,438,668.00","0.18","-0.93","1.11"
"Kris Dunn","2023-24","UTA","Secondary Ball Handler","717","PG","29","0.08","-0.54","0.62","1.10","3,958,098.00","-0.16","-0.98","0.82"
"John Collins","2023-24","UTA","Stretch Big","1,243","PF","26","0.07","-0.23","0.30","2.00","6,820,538.00","-0.09","-0.36","0.27"
"Mamadi Diakite","2023-24","SAS","Low Minute","16","PF","27","0.06","-0.18","0.25","0.00","87,267.00","0.01","-0.17","0.19"
"Anfernee Simons","2023-24","POR","Shot Creator","873","SG","24","0.02","1.84","-1.82","1.40","4,703,052.00","-0.39","1.35","-1.74"
"Jerome Robinson","2023-24","GSW","Low Minute","26","SG","26","0.02","-0.27","0.29","0.00","141,342.00","-0.11","-0.34","0.23"
"Brandin Podziemski","2023-24","GSW","Stationary Shooter","946","SG","20","0.01","0.04","-0.03","1.50","5,069,912.00","-0.62","-0.40","-0.22"
"Naz Reid","2023-24","MIN","Stationary Shooter","1,075","C","24","0.01","-0.58","0.59","1.70","5,768,176.00","0.35","-0.17","0.52"
"D'Angelo Russell","2023-24","LAL","Primary Ball Handler","1,382","PG","27","0.00","0.86","-0.85","2.10","7,381,100.00","0.03","0.69","-0.66"
"Caleb Martin","2023-24","MIA","Stationary Shooter","814","SF","28","-1.00","-1.21","0.21","0.70","2,587,219.00","-1.53","-1.46","-0.06"
"DeAndre Jordan","2023-24","DEN","Roll + Cut Big","293","C","35","-1.00","-1.35","0.35","0.30","930,914.00","-0.59","-1.33","0.74"
"Johnny Davis","2023-24","WAS","Athletic Finisher","163","SG","21","-1.00","-1.21","0.21","0.10","516,245.00","-1.53","-1.27","-0.25"
"Jontay Porter","2023-24","TOR","Stretch Big","200","PF","24","-0.01","-0.73","0.72","0.30","1,062,240.00","0.30","-0.41","0.71"
"Darius Garland","2023-24","CLE","Primary Ball Handler","700","PG","24","-0.02","0.77","-0.79","1.10","3,704,720.00","0.53","0.96","-0.42"
"Frank Ntilikina","2023-24","CHO","Low Minute","43","PG","25","-0.03","-0.31","0.28","0.10","226,396.00","-0.08","-0.44","0.37"
"Klay Thompson","2023-24","GSW","Off Screen Shooter","1,298","SF","33","-0.03","0.92","-0.94","2.00","6,848,625.00","-0.02","0.93","-0.95"
"Dwight Powell","2023-24","DAL","Roll + Cut Big","639","C","32","-0.04","-0.56","0.53","1.00","3,361,891.00","-0.75","-1.08","0.33"
"Jordan Goodwin","2023-24","PHO","Stationary Shooter","549","PG","0","-0.04","0.45","-0.49","0.80","2,877,893.00","-0.37","0.14","-0.51"
"Jules Bernard","2023-24","WAS","Low Minute","21","SG","24","-0.04","0.01","-0.04","0.00","110,297.00","-0.24","-0.10","-0.14"
"Malcolm Brogdon","2023-24","POR","Primary Ball Handler","1,085","PG","31","-0.05","1.07","-1.12","1.60","5,661,522.00","-0.62","0.59","-1.20"
"Robert Williams III","2023-24","POR","Roll + Cut Big","119","C","26","-0.05","-0.76","0.71","0.20","619,727.00","0.00","-0.84","0.84"
"Sidy Cissoko","2023-24","SAS","Low Minute","32","SF","19","-0.05","-0.40","0.35","0.00","164,802.00","-0.15","-0.36","0.22"
"Usman Garuba","2023-24","GSW","Low Minute","6","PF","21","-0.05","-0.30","0.25","0.00","31,576.00","-0.04","-0.28","0.24"
"Mo Bamba","2023-24","PHI","Roll + Cut Big","233","C","25","-0.06","-0.44","0.38","0.40","1,211,606.00","-0.17","-0.68","0.51"
"Patrick Baldwin Jr.","2023-24","WAS","Stretch Big","116","SF","21","-0.06","-0.29","0.23","0.20","606,221.00","-0.43","-0.44","0.01"
"Taze Moore","2023-24","POR","Low Minute","10","SG","0","-0.06","-0.21","0.14","0.00","52,934.00","-0.09","-0.23","0.14"
"Hamidou Diallo","2023-24","WAS","Low Minute","5","SG","25","-0.07","0.00","-0.06","0.00","24,645.00","-0.16","-0.05","-0.10"
"Jordan Ford","2023-24","SAC","Low Minute","22","PG","25","-0.07","-0.36","0.29","0.00","113,009.00","-0.20","-0.35","0.16"
"Jordan McLaughlin","2023-24","MIN","Movement Shooter","249","PG","27","-0.07","-0.16","0.09","0.40","1,294,493.00","-0.25","-0.03","-0.22"
"Orlando Robinson","2023-24","MIA","Roll + Cut Big","229","C","23","-0.07","-1.16","1.09","0.30","1,188,776.00","-0.11","-0.86","0.75"
"Zion Williamson","2023-24","NOP","Shot Creator","1,151","PF","23","-0.09","1.18","-1.28","1.70","5,913,116.00","1.36","1.58","-0.22"
"Gui Santos","2023-24","GSW","Low Minute","35","PF","21","-0.10","-0.34","0.24","0.10","178,295.00","-0.14","-0.34","0.20"
"Delon Wright","2023-24","WAS","Secondary Ball Handler","406","PG","31","-0.11","-0.76","0.66","0.60","2,070,763.00","-0.07","-0.52","0.45"
"Dominick Barlow","2023-24","SAS","Athletic Finisher","295","PF","20","-0.11","-0.88","0.77","0.40","1,501,816.00","-0.34","-1.24","0.90"
"Al Horford","2023-24","BOS","Stretch Big","1,056","C","37","-0.12","-1.32","1.20","1.50","5,362,151.00","0.74","-0.44","1.18"
"Johnny Juzang","2023-24","UTA","Low Minute","4","SG","22","-0.12","-0.16","0.04","0.00","22,138.00","-0.13","-0.16","0.03"
"James Bouknight","2023-24","CHO","Secondary Ball Handler","73","SG","23","-0.15","-0.40","0.25","0.10","366,038.00","-0.02","-0.20","0.18"
"Marcus Smart","2023-24","MEM","Secondary Ball Handler","605","PG","29","-0.15","-0.88","0.73","0.90","3,025,177.00","-0.73","-1.05","0.33"
"Moses Brown","2023-24","POR","Roll + Cut Big","82","C","24","-0.15","-0.61","0.46","0.10","412,195.00","-0.28","-0.64","0.36"
"Trey Jemison","2023-24","WAS","Low Minute","1","C","24","-0.16","-0.08","-0.08","0.00","7,403.00","-0.14","-0.04","-0.10"
"Adama Sanogo","2023-24","CHI","Low Minute","11","PF","21","-0.17","-0.21","0.04","0.00","52,741.00","-0.29","-0.16","-0.12"
"Isaac Okoro","2023-24","CLE","Stationary Shooter","955","SF","23","-0.17","-0.94","0.76","1.40","4,731,790.00","-0.66","-1.12","0.46"
"Luke Kornet","2023-24","BOS","Roll + Cut Big","499","C","28","-0.17","-0.60","0.43","0.70","2,481,298.00","-0.14","-0.87","0.73"
"Aaron Nesmith","2023-24","IND","Movement Shooter","1,143","SF","24","-0.18","-0.36","0.18","1.60","5,658,040.00","-0.51","0.08","-0.59"
"GG Jackson","2023-24","MEM","Stationary Shooter","233","PF","19","-0.18","-0.38","0.20","0.30","1,150,293.00","-0.40","-0.46","0.06"
"Jarace Walker","2023-24","IND","Stationary Shooter","165","PF","20","-0.18","0.01","-0.19","0.20","811,907.00","-0.55","-0.09","-0.46"
"Micah Potter","2023-24","UTA","Low Minute","7","PF","0","-0.18","-0.22","0.04","0.00","35,872.00","-0.15","-0.19","0.05"
"Talen Horton-Tucker","2023-24","UTA","Primary Ball Handler","675","PG","23","-0.20","0.27","-0.47","1.00","3,306,683.00","0.08","0.39","-0.31"
"Anthony Gill","2023-24","WAS","Athletic Finisher","156","PF","31","-0.21","-0.62","0.41","0.20","761,173.00","-0.81","-0.78","-0.04"
"Brice Sensabaugh","2023-24","UTA","Low Minute","12","SF","20","-0.21","-0.22","0.01","0.00","56,263.00","-0.16","-0.18","0.03"
